Ref,Val,Package,PosX,PosY,Rot,Side
"R209","RES_51R0_1%_0.125W_Thick_0805","C0805-RES",220.200000,-55.700000,0.000000,top
"R210","RES_51R0_1%_0.125W_Thick_0805","C0805-RES",220.200000,-53.700000,0.000000,top
"R211","RES_2K00_1%_0.125W_Thick_0805","C0805-RES",217.800000,-49.700000,180.000000,top
"R212","RES_2K00_1%_0.125W_Thick_0805","C0805-RES",217.800000,-51.700000,180.000000,top
"R213","RES_10K0_1%_0.125W_Thick_0805","C0805-RES",193.500000,-87.300000,90.000000,top
"R214","RES_10K0_1%_0.125W_Thick_0805","C0805-RES",193.500000,-83.800000,270.000000,top
"R215","RES_100K_1%_0.125W_Thick_0805","C0805-RES",252.900000,-72.100000,180.000000,top
"R301","RES_1K00_1%_0.125W_Thick_0805","C0805-RES",96.100000,-65.200000,0.000000,top
"R302","RES_51R0_1%_0.125W_Thick_0805","C0805-RES",116.800000,-56.200000,180.000000,top
"R303","RES_51R0_1%_0.125W_Thick_0805","C0805-RES",99.600000,-57.200000,180.000000,top
"R304","RES_51R0_1%_0.125W_Thick_0805","C0805-RES",116.800000,-58.600000,180.000000,top
"R305","RES_51R0_1%_0.125W_Thick_0805","C0805-RES",116.800000,-61.000000,180.000000,top
"R306","RES_51R0_1%_0.125W_Thick_0805","C0805-RES",116.800000,-63.400000,180.000000,top
"R307","RES_4K32_1%_0.125W_Thick_0805","C0805-RES",96.100000,-63.200000,180.000000,top
"R308","RES_10K0_1%_0.125W_Thick_0805","C0805-RES",118.100000,-67.900000,90.000000,top
"R309","DNP","C0805-RES",115.600000,-79.400000,180.000000,top
"R310","DNP","C0805-RES",115.600000,-77.400000,180.000000,top
"R311","RES_0R00_1%_0.125W_Thick_0805","C0805-RES",115.600000,-83.400000,180.000000,top
"R312","RES_0R00_1%_0.125W_Thick_0805","C0805-RES",115.600000,-81.400000,180.000000,top
"R313","RES_10K0_1%_0.125W_Thick_0805","C0805-RES",105.000000,-72.400000,0.000000,top
"R314","RES_10K0_1%_0.125W_Thick_0805","C0805-RES",105.000000,-74.400000,0.000000,top
"R315","DNP","C0805-RES",108.300000,-79.400000,0.000000,top
"R316","DNP","C0805-RES",115.600000,-85.400000,0.000000,top
"R317","RES_0R00_1%_0.125W_Thick_0805","C0805-RES",99.100000,-83.100000,90.000000,top
"R318","RES_0R00_1%_0.125W_Thick_0805","C0805-RES",103.600000,-87.500000,0.000000,top
